DMC,Color,RGB
726,Topaz - LT,"(253, 219, 99)"
581,Moss Green,"(131, 138, 41)"
727,Topaz - VY LT,"(253, 233, 139)"
597,Turquoise,"(82, 173, 171)"
728,Golden Yellow,"(242, 174, 63)"
598,Turquoise - LT,"(151, 216, 211)"
729,Old Gold - MED,"(206, 150, 87)"
730,Olive Green - VY DK,"(99, 82, 11)"
803,Blue - DEEP,"(32, 39, 84)"
731,Olive Green - DK,"(107, 88, 11)"
806,Peacock Blue - DK,"(29, 108, 135)"
732,Olive Green,"(114, 92, 12)"
807,Peacock Blue,"(85, 139, 158)"
733,Olive Green - MED,"(167, 138, 68)"
809,Delft Blue,"(145, 159, 213)"
734,Olive Green - LT,"(187, 156, 84)"
813,Blue - LT,"(127, 160, 198)"
738,Tan - VY LT,"(226, 183, 131)"
814,Garnet - DK,"(113, 16, 51)"
739,Tan - ULT VY LT,"(242, 222, 185)"
815,Garnet - MED,"(128, 11, 52)"
740,Tangerine,"(253, 111, 26)"
816,Garnet,"(146, 18, 56)"
741,Tangerine - MED,"(252, 139, 16)"
817,Coral Red - VY DK,"(187, 22, 48)"
742,Tangerine - LT,"(253, 174, 60)"
818,Baby Pink,"(254, 222, 221)"
743,Yellow - MED,"(253, 215, 105)"
819,Baby Pink - LT,"(252, 235, 222)"
744,Yellow - PALE,"(254, 232, 141)"
820,Royal Blue - VY DK,"(21, 18, 100)"
745,Yellow - LT PALE,"(254, 235, 165)"
822,Beige Gray - LT,"(232, 223, 199)"
746,Off White,"(250, 242, 213)"
823,Blue - DK,"(0, 11, 68)"
747,Sky Blue - VY LT,"(206, 233, 234)"
824,Blue - VY DK,"(40, 71, 121)"
754,Peach - LT,"(247, 201, 176)"
825,Blue - DK,"(52, 88, 143)"
758,Terra Cotta - VY LT,"(233, 159, 131)"
826,Blue - MED,"(80, 117, 167)"
760,Salmon,"(236, 136, 128)"
827,Blue - VY LT,"(164, 193, 222)"
761,Salmon - LT,"(248, 180, 173)"
828,Blue - ULT VY LT,"(195, 215, 230)"
762,Pearl Gray - VY LT,"(209, 208, 210)"
829,Golden Olive - VY DK,"(100, 72, 12)"
772,Yellow Green - VY LT,"(215, 239, 167)"
830,Golden Olive - DK,"(110, 80, 29)"
775,Baby Blue - VY LT,"(212, 227, 239)"
831,Golden Olive - MED,"(124, 95, 32)"
776,Pink - MED,"(252, 168, 173)"
832,Golden Olive,"(156, 114, 48)"
777,Red - DEEP,"(155, 0, 66)"
833,Golden Olive - LT,"(185, 153, 86)"
778,Antique Mauve - VY LT,"(220, 166, 164)"
834,Golden Olive - VY LT,"(210, 180, 104)"
779,Brown,"(83, 51, 45)"
838,Beige Brown - VY DK,"(74, 48, 33)"
780,Topaz - ULT VY DK,"(148, 80, 38)"
839,Beige Brown - DK,"(90, 60, 45)"
781,Topaz - VY DK,"(162, 95, 31)"
840,Beige Brown - MED,"(122, 89, 57)"
782,Topaz - DK,"(178, 105, 35)"
841,Beige Brown - LT,"(163, 125, 100)"
783,Topaz - MED,"(208, 136, 61)"
842,Beige Brown - VY LT,"(203, 176, 148)"
791,Cornflower Blue - VY DK,"(45, 32, 104)"
844,Beaver Gray - ULT DK,"(73, 72, 66)"
792,Cornflower Blue - DK,"(69, 75, 139)"
868,Hazel Nut Brown,"(153, 92, 48)"
793,Cornflower Blue - MED,"(124, 130, 181)"
869,Hazelnut Brown - VY DK,"(120, 76, 40)"
794,Cornflower Blue - LT,"(160, 178, 215)"
890,Pistachio Green - ULT DK,"(50, 66, 51)"
796,Royal Blue - DK,"(39, 34, 118)"
891,Carnation - DK,"(238, 50, 70)"
797,Royal Blue,"(43, 50, 136)"
892,Carnation - MED,"(244, 71, 83)"
798,Delft Blue - DK,"(78, 92, 167)"
893,Carnation - LT,"(246, 104, 121)"
799,Delft Blue - MED,"(107, 127, 192)"
894,Carnation - VY LT,"(253, 149, 163)"
800,Delft Blue - PALE,"(181, 199, 233)"
895,Hunter Green - VY DK,"(52, 75, 46)"
801,Coffee Brown - DK,"(96, 57, 29)"
898,Coffee Brown - VY DK,"(83, 47, 27)"
899,Rose - MED,"(234, 107, 120)"
955,Nile Green - LT,"(168, 235, 173)"
900,Burnt Orange - DK,"(198, 49, 23)"
956,Geranium,"(247, 86, 109)"
902,Garnet - VY DK,"(101, 19, 41)"
957,Geranium - PALE,"(253, 153, 175)"
904,Parrot Green - VY DK,"(56, 99, 36)"
958,Seagreen - DK,"(13, 178, 148)"
905,Parrot Green - DK,"(70, 121, 36)"
959,Seagreen - MED,"(114, 208, 183)"
906,Parrot Green - MED,"(108, 158, 41)"
961,Dusty Rose - DK,"(222, 88, 108)"
907,Parrot Green - LT,"(157, 199, 45)"
962,Dusty Rose - MED,"(235, 113, 131)"
909,Emerald Green - VY DK,"(16, 107, 67)"
963,Dusty Rose - ULT VY LT,"(253, 204, 209)"
910,Emerald Green - DK,"(16, 129, 78)"
964,Seagreen - LT,"(165, 228, 212)"
911,Emerald Green - MED,"(16, 146, 86)"
966,Baby Green - MED,"(148, 210, 138)"
912,Emerald Green - LT,"(54, 178, 107)"
967,Peach - LT,"(255, 194, 172)"
913,Nile Green - MED,"(85, 202, 125)"
970,Pumpkin - LT,"(251, 103, 33)"
915,Plum - DK,"(149, 8, 90)"
971,Pumpkin,"(252, 103, 13)"
917,Plum - MED,"(172, 16, 113)"
972,Canary - DEEP,"(251, 159, 17)"
918,Red Copper - DK,"(136, 54, 48)"
973,Canary - BRIGHT,"(252, 205, 45)"
919,Red Copper,"(155, 55, 27)"
975,Golden Brown - DK,"(129, 60, 17)"
920,Copper - MED,"(171, 72, 54)"
976,Golden Brown - MED,"(207, 117, 50)"
921,Copper,"(192, 87, 61)"
977,Golden Brown - LT,"(236, 143, 67)"
922,Copper - LT,"(221, 110, 76)"
986,Forest Green - VY DK,"(46, 82, 48)"
924,Gray Green - VY DK,"(56, 74, 74)"
987,Forest Green - DK,"(67, 104, 56)"
926,Gray Green - MED,"(97, 118, 116)"
988,Forest Green - MED,"(102, 146, 74)"
927,Gray Green - LT,"(159, 168, 165)"
989,Forest Green,"(113, 167, 78)"
928,Gray Green - VY LT,"(192, 198, 192)"
991,Aquamarine - DK,"(19, 95, 85)"
930,Antique Blue - DK,"(73, 92, 107)"
992,Aquamarine - LT,"(66, 181, 158)"
931,Antique Blue - MED,"(102, 118, 132)"
993,Aquamarine - VY LT,"(98, 216, 182)"
932,Antique Blue - LT,"(147, 160, 175)"
995,Electric Blue - DK,"(0, 97, 176)"
934,Avocado Green - BLACK,"(50, 51, 36)"
996,Electric Blue - MED,"(73, 168, 235)"
935,Avocado Green - DK,"(56, 58, 42)"
3011,Khaki Green - DK,"(101, 89, 53)"
936,Avocado Green - VY DK,"(63, 66, 39)"
3012,Khaki Green - MED,"(139, 123, 78)"
937,Avocado Green - MED,"(67, 79, 44)"
3013,Khaki Green - LT,"(175, 169, 123)"
938,Coffee Brown - ULT DK,"(69, 39, 26)"
3021,Brown Gray - VY DK,"(80, 64, 59)"
939,Blue - VY DK,"(9, 9, 47)"
3022,Brown Gray - MED,"(132, 130, 116)"
943,Aquamarine - MED,"(0, 154, 119)"
3023,Brown Gray - LT,"(162, 155, 134)"
945,Tawny,"(246, 193, 154)"
3024,Brown Gray - VY LT,"(190, 184, 172)"
946,Burnt Orange - MED,"(237, 65, 21)"
3031,Mocha Brown - VY DK,"(66, 48, 20)"
947,Burnt Orange,"(252, 79, 22)"
3032,Mocha Brown - MED,"(157, 136, 104)"
948,Peach - VY LT,"(253, 230, 211)"
3033,Mocha Brown - VY LT,"(219, 199, 173)"
950,Desert Sand - LT,"(229, 172, 141)"
3041,Antique Violet - MED,"(134, 106, 118)"
951,Tawny - LT,"(250, 221, 182)"
3042,Antique Violet - LT,"(175, 152, 160)"
954,Nile Green,"(111, 218, 138)"
3045,Yellow Beige - DK,"(175, 129, 82)"
3046,Yellow Beige - MED,"(206, 176, 116)"
3731,Dusty Rose - VY DK,"(195, 76, 92)"
3047,Yellow Beige - LT,"(234, 216, 171)"
3733,Dusty Rose,"(234, 126, 134)"
3051,Green Gray - DK,"(76, 76, 30)"
3740,Antique Violet - DK,"(113, 83, 93)"
3052,Green Gray - MED,"(120, 126, 92)"
3743,Antique Violet - VY LT,"(207, 194, 201)"
3053,Green Gray,"(153, 157, 117)"
3746,Blue Violet - DK,"(132, 74, 181)"
3064,Desert Sand,"(186, 112, 86)"
3747,Blue Violet - VY LT,"(208, 197, 236)"
3072,Beaver Gray - VY LT,"(210, 210, 202)"
3750,Antique Blue - VY DK,"(29, 69, 82)"
3078,Golden Yellow - VY LT,"(252, 246, 182)"
3752,Antique Blue - VY LT,"(186, 201, 204)"
3325,Baby Blue - LT,"(173, 205, 231)"
3753,Antique Blue - ULT VY LT,"(217, 230, 236)"
3326,Rose - LT,"(249, 151, 156)"
3755,Baby Blue (?),"(129, 165, 216)"
3328,Salmon - DK,"(190, 68, 74)"
3756,Baby Blue,"(233, 244, 250)"
3340,Apricot - MED,"(253, 107, 79)"
3760,Wedgewood - MED,"(70, 114, 147)"
3341,Apricot,"(253, 142, 120)"
3761,Sky Blue - LT,"(177, 208, 223)"
3345,Hunter Green - DK,"(64, 85, 46)"
3765,Peacock Blue - VY DK,"(23, 94, 120)"
3346,Hunter Green,"(86, 116, 59)"
3766,Peacock Blue - LT,"(75, 138, 161)"
3347,Yellow Green - MED,"(109, 150, 70)"
3768,Gray Green - DK,"(76, 96, 95)"
3348,Yellow Green - LT,"(190, 223, 116)"
3770,Tawny - VY LT,"(254, 241, 216)"
3350,Dusty Rose - ULT DK,"(170, 57, 73)"
3771,Peach - DK,"(232, 172, 155)"
3354,Dusty Rose - LT,"(239, 165, 172)"
3772,Desert Sand - VY DK,"(153, 87, 68)"
3362,Pine Green - DK,"(73, 82, 60)"
3773,Desert Sand - MED,"(207, 134, 109)"
3363,Pine Green - MED,"(97, 116, 81)"
3774,Desert Sand - VY LT,"(243, 207, 180)"
3364,Pine Green,"(142, 155, 109)"
3776,Mahogany - LT,"(201, 100, 68)"
3371,Black Brown,"(54, 34, 14)"
3777,Terra Cotta - VY DK,"(146, 47, 37)"
3607,Plum - LT,"(217, 76, 157)"
3778,Terra Cotta - LT,"(210, 112, 92)"
3608,Plum - VY LT,"(236, 129, 190)"
3779,Terra Cotta - ULT VY LT,"(242, 171, 149)"
3609,Plum - ULT LT,"(246, 176, 223)"
3781,Mocha Brown - DK,"(89, 63, 43)"
3685,Mauve - VY DK,"(121, 38, 59)"
3782,Mocha Brown - LT,"(182, 157, 128)"
3687,Mauve,"(181, 69, 93)"
3787,Brown Gray - DK,"(98, 82, 76)"
3688,Mauve - MED,"(220, 124, 134)"
3790,Beige Gray - ULT DK,"(109, 90, 75)"
3689,Mauve - LT,"(248, 187, 200)"
3799,Pewter Gray - VY DK,"(57, 57, 61)"
3705,Melon - DK,"(242, 73, 79)"
3801,Melon - VY DK,"(228, 53, 61)"
3706,Melon - MED,"(253, 110, 112)"
3802,Antique Mauve - VY DK,"(103, 42, 51)"
3708,Melon - LT,"(253, 160, 174)"
3803,Mauve - DK,"(135, 42, 67)"
3712,Salmon - MED,"(217, 93, 93)"
3804,Cyclamen Pink - DK,"(206, 43, 99)"
3713,Salmon - VY LT,"(253, 213, 208)"
3805,Cyclamen Pink,"(223, 60, 115)"
3716,Dusty Rose - VY LT,"(252, 175, 185)"
3806,Cyclamen Pink - LT,"(241, 90, 145)"
3721,Shell Pink - DK,"(147, 59, 61)"
3807,Cornflower Blue,"(75, 89, 158)"
3722,Shell Pink - MED,"(160, 75, 76)"
3808,Turquoise - ULT VY DK,"(3, 83, 92)"
3726,Antique Mauve - DK,"(149, 86, 92)"
3809,Turquoise - VY DK,"(19, 106, 117)"
3727,Antique Mauve - LT,"(218, 158, 166)"
3810,Turquoise - DK,"(45, 141, 152)"
3811,Turquoise - VY LT,"(168, 226, 229)"
3839,Lavender Blue - MED,"(122, 126, 197)"
3812,Seagreen - VY DK,"(7, 161, 132)"
3840,Lavender Blue - LT,"(178, 189, 234)"
3813,Blue Green - LT,"(134, 195, 171)"
3841,Baby Blue - PALE,"(217, 234, 242)"
3814,Aquamarine,"(11, 134, 115)"
3842,Wedgewood - DK,"(6, 80, 106)"
3815,Celadon Green - DK,"(67, 114, 89)"
3843,Electric Blue,"(40, 163, 222)"
3816,Celadon Green,"(96, 147, 122)"
3844,Bright Turquoise - DK,"(31, 127, 160)"
3817,Celadon Green - LT,"(129, 198, 164)"
3845,Bright Turquoise - MED,"(43, 173, 209)"
3818,Emerald Green - ULT VY DK,"(0, 93, 46)"
3846,Bright Turquoise - LT,"(94, 204, 236)"
3819,Moss Green - LT,"(204, 201, 89)"
3847,Teal Green - DK,"(24, 99, 88)"
3820,Straw - DK,"(219, 165, 62)"
3848,Teal Green - MED,"(32, 126, 114)"
3821,Straw,"(235, 187, 82)"
3849,Teal Green - LT,"(53, 177, 147)"
3822,Straw - LT,"(247, 209, 105)"
3850,Bright Green - DK,"(32, 139, 70)"
3823,Yellow - ULT PALE,"(254, 245, 205)"
3851,Bright Green - LT,"(97, 187, 132)"
3824,Apricot - LT,"(252, 174, 153)"
3852,Straw - VY DK,"(227, 167, 48)"
3825,Pumpkin - PALE,"(254, 163, 112)"
3853,Autumn Gold - DK,"(239, 129, 37)"
3826,Golden Brown,"(177, 102, 51)"
3854,Autumn Gold - MED,"(251, 172, 86)"
3827,Golden Brown - PALE,"(234, 166, 100)"
3855,Autumn Gold - LT,"(253, 223, 160)"
3828,Hazelnut Brown,"(170, 124, 67)"
3856,Mahogany - ULT VY LT,"(253, 190, 142)"
3829,Old Gold - VY DK,"(167, 103, 29)"
3857,Rosewood - DK,"(106, 47, 38)"
3830,Terra Cotta,"(169, 65, 56)"
3858,Rosewood - MED,"(128, 58, 50)"
3831,Raspberry - DK,"(193, 43, 82)"
3859,Rosewood - LT,"(186, 122, 108)"
3832,Raspberry - MED,"(227, 99, 112)"
3860,Cocoa,"(137, 99, 98)"
3833,Raspberry - LT,"(234, 139, 150)"
3861,Cocoa - LT,"(172, 133, 131)"
3834,Grape - DK,"(106, 34, 88)"
3862,Mocha Beige - DK,"(110, 73, 42)"
3835,Grape - MED,"(146, 77, 120)"
3863,Mocha Beige - MED,"(148, 114, 93)"
3836,Grape - LT,"(197, 151, 185)"
3864,Mocha Beige - LT,"(201, 170, 146)"
3837,Lavender - ULT DK,"(138, 42, 143)"
3865,Winter White,"(255, 253, 249)"
3838,Lavender Blue - DK,"(96, 107, 173)"
3866,Mocha Brown - ULT VY LT,"(240, 230, 215)"
